id,host,defect,natoms,formula,ispin,nedos,nsw,n_ionic_steps,converged_electronic,converged_ionic,efermi,emin_data,emax_data,window_covers,n_pdos,ymin,ymax,y_finite,has_outcar,reached_accuracy,mag_abs_sum,mag_max_abs,in_old,identical_to_old,dup_within_new,md5
cose2_Fe_adatom,cose2,Fe_adatom,49,Fe1Co16Se32,2,3000,0,1,False,True,-2.31579706,-18.83520294,9.40649706,False,49,0.0,8.109199999999998,True,True,False,35.10799999999999,3.465,True,True,False,60e098d3610fa208890f9a62f265cce7
cose2_Fe_doped,cose2,Fe_doped,48,Fe1Co15Se32,2,3000,0,1,False,True,-2.31067156,-18.60242844,9.08507156,False,48,0.0,7.0565,True,True,False,26.541000000000004,2.792,True,True,False,32bd227bcb05f61feb8b4593d417cc99
cose2_Ni_adatom,cose2,Ni_adatom,49,Co16Ni1Se32,2,3000,0,1,True,True,-2.39709001,-18.71790999,9.45499001,False,49,0.0,8.3825,True,False,,,,True,True,False,f927dc280303979f900bcb926193d772
cose2_Ni_doped,cose2,Ni_doped,48,Co15Ni1Se32,2,3000,0,1,False,True,-2.3674873,-18.4976127,9.5884873,False,48,0.0,5.6279,True,True,False,30.246000000000002,1.732,True,True,False,e2f2e4cbaa4bb13edebc19e445a47123
cose2_Vacancy-Anion-03,cose2,Vacancy-Anion-03,47,Co16Se31,2,3000,0,1,True,True,-2.61329685,-18.724003149999998,9.37469685,False,47,0.0,7.6398,True,True,False,27.384,1.713,True,False,False,57ac12dbb618879b784cc883a68b2d1f
cose2_Vacancy-Anion-06A,cose2,Vacancy-Anion-06A,46,Co16Se30,2,3000,0,1,True,True,-2.8097992,-18.706000799999998,9.6439992,False,46,0.0,6.609,True,True,False,23.808,1.691,False,,False,d43fa34a743d2e3670e5f5a9c4f7f801
cose2_Vacancy-Anion-06B,cose2,Vacancy-Anion-06B,46,Co16Se30,2,3000,0,1,True,True,-2.62665197,-18.427248029999998,9.37635197,False,46,0.0,7.433299999999999,True,True,False,25.322000000000003,2.108,False,,False,88f4f0df576de7f64d5239f2c54cc417
cose2_Vacancy-Anion-09A,cose2,Vacancy-Anion-09A,45,Co16Se29,2,3000,0,1,True,True,-3.02207754,-18.425022459999997,9.37797754,False,45,0.0,6.7743,True,True,False,22.456999999999997,1.828,True,False,False,298941c211e7495be2b4be6a7f6aa64b
cose2_Vacancy-Anion-09B,cose2,Vacancy-Anion-09B,45,Co16Se29,2,3000,0,1,False,True,-3.07859601,-18.02260399,10.021896009999999,True,45,0.0,20.0539,True,True,False,23.275000000000002,2.382,True,True,False,4af985278c21c3af1badbe1093a7bf04
cose2_Vacancy-Metal,cose2,Vacancy-Metal,47,Co15Se32,2,3000,0,1,True,True,-2.42290376,-18.55109624,9.26930376,False,47,0.0,4.135599999999999,True,True,False,28.745999999999995,1.726,True,False,False,53ca99b708b8cb20eb3fc580daa7f955
cro2_Anti-Anion,cro2,Anti-Anion,48,Cr15O33,2,3000,0,1,True,True,-6.30815968,-24.90744032,14.017759680000001,True,48,0.0,8.8383,True,True,False,19.883,1.827,True,False,False,11513f3b27e99113bbf36bbdc7d35707
