id,dE,same_geom,old_conv,new_conv,recomputed
cose2_Vacancy-Anion-03,1.1200000358257967e-06,True,False,True,True
cose2_Vacancy-Anion-09A,0.33111328999996203,True,False,True,True
cose2_Vacancy-Metal,0.004680280000002313,True,False,True,True
cro2_Anti-Anion,0.9037406600000395,True,False,True,True
cro2_Anti-Metal,0.0002950900000087131,True,False,True,True
cro2_Int-Anion,1450.5667516400001,True,False,True,True
cro2_Int-Metal,0.490996129999985,True,True,True,True
cro2_Vacancy-Anion-03,0.0025160499999969943,True,False,True,True
cro2_Vacancy-Metal,0.0018251399999940077,True,False,True,True
crte2_Int-Anion,0.09616495000000214,True,True,True,True
crte2_Int-Metal,0.20002815000003693,True,True,True,True
cuse2_Defect-Free,0.003456960000022491,True,False,True,True
fes2_Co_adatom,8.89000000370288e-06,True,False,True,True
fes2_Co_doped,0.0215487299999495,True,False,True,True
fes2_Defect-Free,0.0002782800000318275,True,False,True,True
fes2_Fe_adatom,0.029334779999999228,True,False,True,True
fes2_Ni_adatom,0.006678790000023582,True,False,True,True
fes2_Ni_doped,0.020793830000002345,True,False,True,True
fes2_Vacancy-Anion-03,0.17702277000000777,True,False,True,True
mns2_Int-Anion,0.02961028999999371,True,True,True,True
mose2-B_Vacancy-Anion-06A,0.009199949999981527,True,True,True,True
mote2-A_Vacancy-Anion-06A,0.013875949999999193,True,True,True,True
nbs2_Vacancy-Anion-06A,4.225278049999986,True,True,True,True
nbse2_Vacancy-Anion-12B,3.077182559999983,True,True,True,True
nbte2_Vacancy-Anion-06A,2.2657658599999877,True,True,True,True
nbte2_Vacancy-Anion-06B,2.347858859999974,True,True,True,True
nbte2_Vacancy-Anion-12B,2.284663480000006,True,True,True,True
pbse2_Int-Metal,0.05203328999999712,True,True,True,True
rus2_Int-Anion,0.0001580800000056115,True,True,True,True
rus2_Int-Metal,0.0015981399999986934,True,True,True,True
tas2-A_Anti-2M,67.02000027999998,True,True,True,True
tas2-A_Vacancy-Anion-06A,65.55533904999999,True,True,True,True
tas2-B_Vacancy-Anion-12B,62.997979799999996,True,True,True,True
tase2-A_Int-Anion,64.56689746,True,True,True,True
tase2-A_Vacancy-Anion-03,0.020944180000014967,True,False,True,True
tase2-A_Vacancy-Anion-06A,61.60598676000001,True,True,True,True
tase2-A_Vacancy-Anion-12B,59.26780148,True,True,True,True
tase2-B_Vacancy-Anion-06A,61.98799514000001,True,True,True,True
tase2-B_Vacancy-Anion-06B,62.09834017999998,True,True,True,True
tase2-B_Vacancy-Anion-12B,59.373634330000016,True,True,True,True
tase2-B_Vacancy-Metal,0.1198515099999895,True,False,True,True
tate2-A_Vacancy-Anion-06A,58.372988969999994,True,True,True,True
tate2-A_Vacancy-Anion-06B,58.17489839999996,True,True,True,True
tate2-A_Vacancy-Anion-12B,55.832785530000024,True,True,True,True
tate2-B_Int-Anion,60.35534723000001,True,True,True,True
tate2-B_Int-Metal,61.64030872000001,True,True,True,True
tate2-B_Vacancy-Anion-06A,57.13723958999998,True,True,True,True
tate2-B_Vacancy-Anion-06B,57.408265719999974,True,True,True,True
tise2_Vacancy-Anion-12B,59.30107024,True,True,True,True
tite2-B_Vacancy-Anion-06A,56.833942860000036,True,True,True,True
tite2-B_Vacancy-Anion-06B,56.60824543999999,True,True,True,True
vs2_Adatom-Li,0.03179624000000558,True,False,True,True
vs2_Adatom-Na,0.06950776999997288,True,False,True,True
vs2_Anti-Anion,0.000522499999988213,True,False,True,True
vs2_Anti-Metal,0.1673209499999757,True,False,True,True
vs2_Mo_adatom,3.256000002238579e-05,True,False,True,True
vs2_Nb_adatom,0.24432566999996652,True,False,True,True
vs2_Vacancy-Anion-06B,68.15475099000003,True,True,True,True
vs2_Vacancy-Anion-12B,67.31420603999999,True,True,True,True
vs2_Vacancy-Metal,0.053737249999983305,True,False,True,True
vse2-A_V_adatom,0.00033231999998406536,True,False,True,True
vse2-A_Vacancy-Metal,4.648999998835279e-05,True,False,True,True
vse2-B_Anti-2M,68.11555301000004,True,True,True,True
vse2-B_Anti-Metal,0.00016269999997575724,True,False,True,True
vse2-B_Int-Metal,66.79729386999998,True,True,True,True
vse2-B_Nb_adatom,0.19584234000001288,True,False,True,True
vte2_Adatom-Na,1.637999997683437e-05,True,False,True,True
vte2_Vacancy-Anion-06A,65.27058561000001,True,True,True,True
vte2_Vacancy-Metal,2.3539999972399528e-05,True,False,True,True
