energy_eV_minus_EF,dos_states_per_eV_per_atom
-10.000000,-4.6266377e-05
-9.949875,-9.3251205e-05
-9.899750,-0.00015421037
-9.849624,-0.00021754602
-9.799499,-0.00011743364
-9.749373,-6.5081258e-06
-9.699248,-8.5358979e-06
-9.649123,0.00024270469
-9.598997,0.00024421047
-9.548872,0.00014594759
-9.498747,-7.3684673e-06
-9.448622,-0.00013292803
-9.398497,-0.00011331755
-9.348371,3.7458278e-05
-9.298245,-6.0398615e-05
-9.248120,0.00028183768
-9.197995,0.00020065812
-9.147870,0.00060039706
-9.097744,0.00085155602
-9.047619,0.00077131507
-8.997494,0.00056167773
-8.947369,0.00099929434
-8.897243,0.00096804259
-8.847117,0.0012024819
-8.796992,0.0011818116
-8.746867,0.0013133154
-8.696742,0.0011190595
-8.646617,0.0016655491
-8.596491,0.0020403368
-8.546366,0.0020665077
-8.496241,0.0020209861
-8.446115,0.0018158947
-8.395990,0.0016229737
-8.345864,0.0010700114
-8.295739,0.00018494032
-8.245614,-0.00046813523
-8.195489,-0.00058361149
-8.145364,-0.00034197539
-8.095238,-3.5936325e-06
-8.045113,0.00047319787
-7.994987,0.0010385225
-7.944862,0.0016731836
-7.894737,0.0016257727
-7.844612,0.001350561
-7.794486,0.0026694194
-7.744361,0.0013216825
-7.694236,0.0010225206
-7.644110,0.001378111
-7.593985,0.001342308
-7.543859,0.0010490764
-7.493734,0.0015655622
-7.443609,0.00058281684
-7.393484,0.00048961403
-7.343359,-0.00044380777
-7.293233,0.00058767904
-7.243108,-0.0014781676
-7.192983,0.00020965053
-7.142857,0.00033938274
-7.092732,0.00062055571
-7.042606,-0.00082175841
-6.992481,-0.00086029695
-6.942356,-0.0012510894
-6.892231,-0.0021393595
-6.842105,-0.0034068858
-6.791980,-0.0033372443
-6.741855,-0.00090034219
-6.691730,-0.0012045382
-6.641604,-0.00064360554
-6.591479,-0.00022335496
-6.541353,0.00093420455
-6.491228,0.00059841434
-6.441103,-0.0010906591
-6.390977,-0.00038382376
-6.340852,0.00064467062
-6.290727,0.00030631502
-6.240602,0.0020664413
-6.190476,0.0029638174
-6.140351,0.00083017582
-6.090226,-0.00030406157
-6.040100,0.001059158
-5.989975,0.0052428599
-5.939850,0.013572428
-5.889724,0.013261015
-5.839599,0.02023047
-5.789474,0.039441515
-5.739348,0.046003543
-5.689223,0.061083835
-5.639098,0.08034189
-5.588973,0.082065992
-5.538847,0.08952193
-5.488722,0.1115686
-5.438597,0.12511344
-5.388471,0.14793555
-5.338346,0.1617306
-5.288220,0.15615262
-5.238095,0.16077352
-5.187970,0.19940335
-5.137845,0.23276679
-5.087719,0.25841984
-5.037594,0.22700155
-4.987469,0.25846496
-4.937343,0.2543495
-4.887218,0.27650148
-4.837093,0.28236464
-4.786967,0.29400963
-4.736842,0.33619189
-4.686717,0.36923602
-4.636591,0.38268843
-4.586466,0.41841337
-4.536341,0.47032785
-4.486216,0.52660525
-4.436090,0.56333971
-4.385965,0.57299066
-4.335840,0.5340696
-4.285714,0.53085971
-4.235589,0.55299652
-4.185463,0.54375321
-4.135338,0.49879703
-4.085213,0.48897341
-4.035088,0.49815571
-3.984962,0.48520142
-3.934837,0.47183239
-3.884712,0.47160682
-3.834586,0.5087769
-3.784461,0.55528295
-3.734336,0.57907152
-3.684211,0.58243358
-3.634085,0.57794714
-3.583960,0.55983555
-3.533835,0.53046191
-3.483709,0.40541515
-3.433584,0.37845513
-3.383459,0.31255952
-3.333333,0.30314863
-3.283208,0.3076947
-3.233083,0.30961597
-3.182957,0.27732828
-3.132832,0.33917868
-3.082707,0.44574559
-3.032582,0.55225891
-2.982456,0.66565037
-2.932331,0.7511934
-2.882205,0.84630108
-2.832080,0.84031719
-2.781955,0.83522815
-2.731830,0.9327122
-2.681704,0.97506464
-2.631579,0.87016261
-2.581454,0.8475939
-2.531328,0.80583864
-2.481203,0.77835679
-2.431078,0.79574615
-2.380952,0.9035666
-2.330827,1.0464838
-2.280702,1.1416727
-2.230577,1.1889105
-2.180451,1.2126058
-2.130326,1.196673
-2.080200,1.1962751
-2.030075,1.1823475
-1.979950,1.0638196
-1.929825,0.98855686
-1.879699,0.89033896
-1.829574,0.79858142
-1.779449,0.67110813
-1.729323,0.60987377
-1.679198,0.62317026
-1.629073,0.61183387
-1.578947,0.61755669
-1.528822,0.61356944
-1.478697,0.62937522
-1.428571,0.67311931
-1.378446,0.71330827
-1.328321,0.7277869
-1.278196,0.67207855
-1.228070,0.64327425
-1.177945,0.6145041
-1.127820,0.63015485
-1.077694,0.61586022
-1.027569,0.58420348
-0.977444,0.57775503
-0.927318,0.56070423
-0.877193,0.5399372
-0.827068,0.54040951
-0.776942,0.51510513
-0.726817,0.49087268
-0.676692,0.48081502
-0.626566,0.42821899
-0.576441,0.35940138
-0.526316,0.32911402
-0.476190,0.29675031
-0.426065,0.2768212
-0.375940,0.26352316
-0.325815,0.2430862
-0.275689,0.18712591
-0.225564,0.15849097
-0.175439,0.19059525
-0.125313,0.17400098
-0.075188,0.15608674
-0.025063,0.15088956
0.025063,0.15972926
0.075188,0.1779657
0.125313,0.19189136
0.175439,0.20614611
0.225564,0.1829983
0.275689,0.17271391
0.325815,0.17654781
0.375940,0.1757904
0.426065,0.16392198
0.476190,0.13861746
0.526316,0.15933985
0.576441,0.16447619
0.626566,0.16523093
0.676692,0.14652142
0.726817,0.12052257
0.776942,0.12588726
0.827068,0.15220915
0.877193,0.13714707
0.927318,0.12309996
0.977444,0.11891111
1.027569,0.1181874
1.077694,0.14003585
1.127820,0.13902532
1.177945,0.1277387
1.228070,0.12092447
1.278196,0.12279265
1.328321,0.12186264
1.378446,0.12671585
1.428571,0.12486308
1.478697,0.12906
1.528822,0.13309848
1.578947,0.16656858
1.629073,0.17560053
1.679198,0.18399644
1.729323,0.20163403
1.779449,0.24692181
1.829574,0.28170636
1.879699,0.25608787
1.929825,0.25686696
1.979950,0.29351157
2.030075,0.30726761
2.080200,0.30122989
2.130326,0.32047871
2.180451,0.34514263
2.230577,0.35101098
2.280702,0.34744003
2.330827,0.36414587
2.380952,0.3697145
2.431078,0.36798859
2.481203,0.39534894
2.531328,0.4496626
2.581454,0.46197334
2.631579,0.48900816
2.681704,0.4924677
2.731830,0.54985511
2.781955,0.54871523
2.832080,0.48957217
2.882205,0.45368284
2.932331,0.41675448
2.982456,0.40146452
3.032582,0.38399571
3.082707,0.42773297
3.132832,0.44016063
3.182957,0.41312402
3.233083,0.40454134
3.283208,0.43866107
3.333333,0.41528478
3.383459,0.35361469
3.433584,0.36305273
3.483709,0.39075312
3.533835,0.37657976
3.583960,0.39808542
3.634085,0.39271924
3.684211,0.37718505
3.734336,0.38929588
3.784461,0.42660105
3.834586,0.46614072
3.884712,0.45370746
3.934837,0.51221544
3.984962,0.60907465
4.035088,0.61468333
4.085213,0.66118056
4.135338,0.65919554
4.185463,0.63372445
4.235589,0.67398149
4.285714,0.69824892
4.335840,0.70532608
4.385965,0.72052538
4.436090,0.7446053
4.486216,0.73213238
4.536341,0.77506524
4.586466,0.81734413
4.636591,0.78598958
4.686717,0.8286168
4.736842,0.90843284
4.786967,0.90764129
4.837093,0.9297719
4.887218,0.93552601
4.937343,0.90280819
4.987469,0.74796379
5.037594,0.70718223
5.087719,0.64275879
5.137845,0.53472215
5.187970,0.40681487
5.238095,0.32430121
5.288220,0.22870266
5.338346,0.17213544
5.388471,0.12385127
5.438597,0.13057542
5.488722,0.13353859
5.538847,0.13375558
5.588973,0.14684936
5.639098,0.15177056
5.689223,0.1606034
5.739348,0.17134735
5.789474,0.1760899
5.839599,0.17901443
5.889724,0.19499372
5.939850,0.19516084
5.989975,0.21291167
6.040100,0.22884107
6.090226,0.24030024
6.140351,0.23620802
6.190476,0.25184289
6.240602,0.2629936
6.290727,0.2672641
6.340852,0.2642698
6.390977,0.26418591
6.441103,0.27145815
6.491228,0.26821458
6.541353,0.26508364
6.591479,0.27004927
6.641604,0.25079304
6.691730,0.21379294
6.741855,0.19576901
6.791980,0.19899713
6.842105,0.20006339
6.892231,0.16696692
6.942356,0.15640385
6.992481,0.13119453
7.042606,0.10431952
7.092732,0.097878352
7.142857,0.07620845
7.192983,0.058222249
7.243108,0.042546283
7.293233,0.020956893
7.343359,0.0083681094
7.393484,0.0035905207
7.443609,0.0025446266
7.493734,0.0037885774
7.543859,0.0041253567
7.593985,0.0043242783
7.644110,0.0055757244
7.694236,0.0066386666
7.744361,0.0063001374
7.794486,0.0075910445
7.844612,0.0086480668
7.894737,0.0092294915
7.944862,0.0073426613
7.994987,0.005097135
8.045113,0.0029523042
8.095238,-0.00082959601
8.145364,-0.00204783
8.195489,-0.0041248105
8.245614,-0.0047540329
8.295739,-0.0048817447
8.345864,-0.0055289515
8.395990,-0.005592668
8.446115,-0.0038885325
8.496241,-0.0039140098
8.546366,-0.0019996881
8.596491,0.00026638998
8.646617,-0.00010834558
8.696742,0.00039565261
8.746867,0.00049488875
8.796992,0.00069727929
8.847117,0.00013147455
8.897243,-0.00031219266
8.947369,-0.0013291604
8.997494,-0.0021229712
9.047619,-0.0024055908
9.097744,-0.0019711936
9.147870,-0.0025788937
9.197995,-0.001317717
9.248120,-0.00022782787
9.298245,0.0020499029
9.348371,0.0026835855
9.398497,0.0025694768
9.448622,0.0045672399
9.498747,0.0039826715
9.548872,0.0041045379
9.598997,0.0053981519
9.649123,0.0054210564
9.699248,0.0051636822
9.749373,0.0047236788
9.799499,0.0058401972
9.849624,0.0056334361
9.899750,0.0059040664
9.949875,0.0060465266
10.000000,0.0070113079
