energy_eV_minus_EF,dos_states_per_eV_per_atom
-10.000000,0
-9.949875,0
-9.899750,0
-9.849624,0
-9.799499,0
-9.749373,0
-9.699248,0
-9.649123,0
-9.598997,0
-9.548872,0
-9.498747,0
-9.448622,0
-9.398497,0
-9.348371,0
-9.298245,0
-9.248120,0
-9.197995,0
-9.147870,0
-9.097744,0
-9.047619,0
-8.997494,0
-8.947369,0
-8.897243,0
-8.847117,0
-8.796992,0
-8.746867,0
-8.696742,0
-8.646617,0
-8.596491,0
-8.546366,0
-8.496241,0
-8.446115,0
-8.395990,0
-8.345864,0
-8.295739,0
-8.245614,0
-8.195489,0
-8.145364,0
-8.095238,0
-8.045113,0
-7.994987,0
-7.944862,0
-7.894737,0
-7.844612,0
-7.794486,0
-7.744361,0
-7.694236,0
-7.644110,0
-7.593985,0
-7.543859,0
-7.493734,0
-7.443609,0
-7.393484,0
-7.343359,0
-7.293233,0
-7.243108,0
-7.192983,0
-7.142857,0
-7.092732,0
-7.042606,0
-6.992481,0
-6.942356,0
-6.892231,0
-6.842105,0
-6.791980,0
-6.741855,0
-6.691730,0
-6.641604,0
-6.591479,0
-6.541353,0
-6.491228,0
-6.441103,0
-6.390977,0
-6.340852,0
-6.290727,0
-6.240602,0
-6.190476,0
-6.140351,0
-6.090226,0
-6.040100,0.00062203477
-5.989975,0.0057506091
-5.939850,0.0097540431
-5.889724,0.033716705
-5.839599,0.062439177
-5.789474,0.04445076
-5.739348,0.10432471
-5.689223,0.11371233
-5.639098,0.075005569
-5.588973,0.053982999
-5.538847,0.10925467
-5.488722,0.19592415
-5.438597,0.22529168
-5.388471,0.19699055
-5.338346,0.096049905
-5.288220,0.062190067
-5.238095,0.14881791
-5.187970,0.28107348
-5.137845,0.31224981
-5.087719,0.34344101
-5.037594,0.22007462
-4.987469,0.19492002
-4.937343,0.26318029
-4.887218,0.17362958
-4.837093,0.25457251
-4.786967,0.45737979
-4.736842,0.43333572
-4.686717,0.37011775
-4.636591,0.48521137
-4.586466,0.56616944
-4.536341,0.52681518
-4.486216,0.53223974
-4.436090,0.66299641
-4.385965,0.63558161
-4.335840,0.57616705
-4.285714,0.51126981
-4.235589,0.44700032
-4.185463,0.51192313
-4.135338,0.43491217
-4.085213,0.37864181
-4.035088,0.46145061
-3.984962,0.47148404
-3.934837,0.39050654
-3.884712,0.52276021
-3.834586,0.67664629
-3.784461,0.55595767
-3.734336,0.61897492
-3.684211,0.68484467
