energy_eV_minus_EF,dos_states_per_eV_per_atom
-10.000000,0.0002310625
-9.949875,0.00029718783
-9.899750,0.00027101123
-9.849624,0.00030327935
-9.799499,0.00042840815
-9.749373,0.0007205829
-9.699248,0.00078245695
-9.649123,0.001012275
-9.598997,0.0012574982
-9.548872,0.00079979282
-9.498747,0.0012317592
-9.448622,0.0013233208
-9.398497,0.0011173678
-9.348371,0.0012062173
-9.298245,0.0011011036
-9.248120,0.0014458677
-9.197995,0.0015327745
-9.147870,0.0013485653
-9.097744,0.0019326491
-9.047619,0.0018300996
-8.997494,0.00208161
-8.947369,0.0025765873
-8.897243,0.0033474399
-8.847117,0.0026028694
-8.796992,0.00096222269
-8.746867,0.00080157758
-8.696742,0.00060683303
-8.646617,0.0014681537
-8.596491,0.00077331043
-8.546366,0.001179611
-8.496241,0.00084646168
-8.446115,0.0021072181
-8.395990,0.0023650485
-8.345864,0.0018720501
-8.295739,0.0025607841
-8.245614,0.00059599779
-8.195489,0.0013683524
-8.145364,0.0012806517
-8.095238,0.0027686609
-8.045113,0.0021381641
-7.994987,0.0021742014
-7.944862,0.0025999642
-7.894737,0.0054364689
-7.844612,0.0049111643
-7.794486,0.0038577754
-7.744361,0.0028856557
-7.694236,0.0025956456
-7.644110,0.0050426694
-7.593985,0.0015142057
-7.543859,-0.0016343694
-7.493734,0.0088180555
-7.443609,0.018771483
-7.393484,0.038613237
-7.343359,0.063594997
-7.293233,0.085667297
-7.243108,0.056109056
-7.192983,0.12767646
-7.142857,0.1530349
-7.092732,0.14857405
-7.042606,0.16045125
-6.992481,0.18186453
-6.942356,0.20253564
-6.892231,0.22731851
-6.842105,0.26437944
-6.791980,0.26968867
-6.741855,0.26782328
-6.691730,0.29406434
-6.641604,0.30235752
-6.591479,0.285577
-6.541353,0.24504909
-6.491228,0.18908167
-6.441103,0.21786812
-6.390977,0.24742906
-6.340852,0.28604162
-6.290727,0.30506653
-6.240602,0.31118935
-6.190476,0.36388379
-6.140351,0.48008174
-6.090226,0.59310842
-6.040100,0.68797475
-5.989975,0.76607573
-5.939850,0.79886949
-5.889724,0.8045907
-5.839599,0.75982881
-5.789474,0.70991385
-5.739348,0.66887581
-5.689223,0.57926232
-5.639098,0.54621661
-5.588973,0.56848812
-5.538847,0.55654901
-5.488722,0.56329513
-5.438597,0.62497282
-5.388471,0.67933315
-5.338346,0.77356923
-5.288220,0.89977062
-5.238095,0.97576034
-5.187970,1.0318744
-5.137845,1.0050849
-5.087719,1.0260602
-5.037594,0.97889155
-4.987469,0.93210369
-4.937343,0.89931959
-4.887218,0.79740351
-4.837093,0.80360442
-4.786967,0.71731967
-4.736842,0.60195404
-4.686717,0.57404608
-4.636591,0.53629524
-4.586466,0.46280092
-4.536341,0.54054582
-4.486216,0.5359689
-4.436090,0.50079298
-4.385965,0.48893428
-4.335840,0.46729669
-4.285714,0.44018015
-4.235589,0.41830117
-4.185463,0.44847709
-4.135338,0.45527503
-4.085213,0.52066237
-4.035088,0.49688503
-3.984962,0.41005394
-3.934837,0.35149899
-3.884712,0.35454312
-3.834586,0.31753546
-3.784461,0.30181476
-3.734336,0.29681182
-3.684211,0.28067011
-3.634085,0.31449205
-3.583960,0.36625329
-3.533835,0.43222225
-3.483709,0.36380881
-3.433584,0.36784324
-3.383459,0.41629976
-3.333333,0.46042958
-3.283208,0.44885018
-3.233083,0.51101726
-3.182957,0.49775702
-3.132832,0.5336746
-3.082707,0.54313636
-3.032582,0.57195407
-2.982456,0.55471963
-2.932331,0.55627668
-2.882205,0.58267438
-2.832080,0.51882559
-2.781955,0.51311958
-2.731830,0.51743078
-2.681704,0.45985678
-2.631579,0.47499284
-2.581454,0.45628899
-2.531328,0.41463956
-2.481203,0.44553426
-2.431078,0.44654
-2.380952,0.48794138
-2.330827,0.53806019
-2.280702,0.57668167
-2.230577,0.53956848
-2.180451,0.53296649
