energy_eV_minus_EF,dos_states_per_eV_per_atom
-10.000000,0
-9.949875,0
-9.899750,0
-9.849624,0
-9.799499,0
-9.749373,0
-9.699248,0
-9.649123,0
-9.598997,0
-9.548872,0
-9.498747,0
-9.448622,0
-9.398497,0
-9.348371,0
-9.298245,0
-9.248120,0
-9.197995,0
-9.147870,0
-9.097744,0
-9.047619,0
-8.997494,0
-8.947369,0
-8.897243,0
-8.847117,0
-8.796992,0
-8.746867,0
-8.696742,0
-8.646617,0
-8.596491,0
-8.546366,0
-8.496241,0
-8.446115,0
-8.395990,0
-8.345864,0
-8.295739,0
-8.245614,0
-8.195489,0
-8.145364,0
-8.095238,0
-8.045113,0
-7.994987,0
-7.944862,0
-7.894737,0
-7.844612,0
-7.794486,0
-7.744361,0
-7.694236,0
-7.644110,0
-7.593985,0.00021282068
-7.543859,0.012384186
-7.493734,0.11217327
-7.443609,0.21310593
-7.393484,0.18398117
-7.343359,0.15937786
-7.293233,0.14577298
-7.243108,0.1523459
-7.192983,0.2219687
-7.142857,0.18638813
-7.092732,0.13001104
-7.042606,0.14265706
-6.992481,0.21885562
-6.942356,0.2754449
-6.892231,0.31639394
-6.842105,0.392683
-6.791980,0.46776909
-6.741855,0.34188011
-6.691730,0.33530265
-6.641604,0.42057347
-6.591479,0.50284272
-6.541353,0.44398993
-6.491228,0.60245621
-6.441103,0.5801416
-6.390977,0.39810225
-6.340852,0.33471784
-6.290727,0.28380996
-6.240602,0.25780493
-6.190476,0.22440495
-6.140351,0.53509599
-6.090226,0.69077843
-6.040100,0.55141205
-5.989975,0.7655378
-5.939850,0.9519875
-5.889724,0.91670078
-5.839599,0.76395786
-5.789474,0.70881414
-5.739348,0.58680505
-5.689223,0.59338093
-5.639098,0.57157081
-5.588973,0.76012194
-5.538847,1.0737467
-5.488722,1.0789171
-5.438597,0.75072742
-5.388471,0.51400268
-5.338346,0.51360732
-5.288220,0.60435086
-5.238095,0.96276498
-5.187970,1.3799231
-5.137845,1.3347696
-5.087719,1.1485964
-5.037594,0.8212018
-4.987469,0.77184314
-4.937343,0.71292508
-4.887218,0.80091244
-4.837093,0.87234116
-4.786967,0.9051972
-4.736842,0.76182187
-4.686717,0.79039407
-4.636591,0.59960896
-4.586466,0.58420205
-4.536341,0.6285432
-4.486216,0.4754988
-4.436090,0.63341546
-4.385965,0.74010235
-4.335840,0.71483904
-4.285714,0.51041967
-4.235589,0.51601148
-4.185463,0.69746894
