energy_eV_minus_EF,dos_states_per_eV_per_atom
-10.000000,0.00013761183
-9.949875,0.00026645893
-9.899750,0.00041754174
-9.849624,0.0006327607
-9.799499,0.0010947535
-9.749373,0.0013134483
-9.699248,0.0012587543
-9.649123,0.0011764057
-9.598997,0.0011469899
-9.548872,0.001004208
-9.498747,0.0011867412
-9.448622,0.0010692731
-9.398497,0.00035187387
-9.348371,0.0002792989
-9.298245,-0.00020345328
-9.248120,-0.00042412701
-9.197995,-0.00050000398
-9.147870,-0.00036975596
-9.097744,-0.00029447602
-9.047619,0.0001290815
-8.997494,0.00062905782
-8.947369,0.00083315384
-8.897243,0.0010000485
-8.847117,0.00088631629
-8.796992,0.00042245185
-8.746867,-0.00042309507
-8.696742,-0.00070639781
-8.646617,-0.00028303365
-8.596491,-0.000484121
-8.546366,-4.871509e-05
-8.496241,-0.00030567902
-8.446115,-0.00020720056
-8.395990,-7.8101875e-06
-8.345864,-0.00035499982
-8.295739,-0.0004202642
-8.245614,-0.00074013032
-8.195489,-0.00065979006
-8.145364,-4.2570467e-05
-8.095238,-0.00013798103
-8.045113,-0.0011355801
-7.994987,-0.00088904839
-7.944862,-0.0010396937
-7.894737,-0.00074431131
-7.844612,-0.0013960496
-7.794486,-0.00099136971
-7.744361,0.0034216526
-7.694236,0.012752615
-7.644110,0.03224881
-7.593985,0.043035176
-7.543859,0.062590517
-7.493734,0.093898498
-7.443609,0.10074551
-7.393484,0.12618449
-7.343359,0.16353686
-7.293233,0.16053367
-7.243108,0.15814759
-7.192983,0.18715394
-7.142857,0.23230603
-7.092732,0.23363164
-7.042606,0.22720395
-6.992481,0.29391056
-6.942356,0.3331776
-6.892231,0.33907464
-6.842105,0.39337111
-6.791980,0.40872523
-6.741855,0.4632324
-6.691730,0.49248505
-6.641604,0.53520715
-6.591479,0.55118519
-6.541353,0.49182892
-6.491228,0.47487381
-6.441103,0.52430463
-6.390977,0.58915263
-6.340852,0.58205307
-6.290727,0.5883832
-6.240602,0.59507102
-6.190476,0.57273984
-6.140351,0.56507564
-6.090226,0.55758166
-6.040100,0.5447045
-5.989975,0.585962
-5.939850,0.56502831
-5.889724,0.54495686
-5.839599,0.62379056
-5.789474,0.65249425
-5.739348,0.66937625
-5.689223,0.71491247
-5.639098,0.72652721
-5.588973,0.67743069
-5.538847,0.66803527
-5.488722,0.66180122
-5.438597,0.66022068
-5.388471,0.69593161
-5.338346,0.74743843
-5.288220,0.78846663
-5.238095,0.73788989
-5.187970,0.74916762
-5.137845,0.74637014
-5.087719,0.78875601
-5.037594,0.7636869
-4.987469,0.72704941
-4.937343,0.74697024
-4.887218,0.7391507
-4.837093,0.73305279
-4.786967,0.71818578
-4.736842,0.59177715
-4.686717,0.55837327
-4.636591,0.61775106
-4.586466,0.62432158
-4.536341,0.58116585
-4.486216,0.57596135
-4.436090,0.57747877
-4.385965,0.65602785
-4.335840,0.56498754
-4.285714,0.50480908
-4.235589,0.45315453
-4.185463,0.45402765
-4.135338,0.4585267
-4.085213,0.49516031
-4.035088,0.4744696
-3.984962,0.50303513
-3.934837,0.49157089
-3.884712,0.48285791
-3.834586,0.48688486
-3.784461,0.44733036
-3.734336,0.44953382
-3.684211,0.46515796
-3.634085,0.47614935
-3.583960,0.44709408
-3.533835,0.45636091
-3.483709,0.45084494
-3.433584,0.46642268
-3.383459,0.46607518
-3.333333,0.42649633
-3.283208,0.45067829
-3.233083,0.4587484
-3.182957,0.40698984
-3.132832,0.43153283
-3.082707,0.46528602
-3.032582,0.48531997
-2.982456,0.49291134
-2.932331,0.52620983
-2.882205,0.542202
-2.832080,0.52840906
-2.781955,0.54832405
-2.731830,0.54372323
-2.681704,0.57447469
-2.631579,0.58763218
-2.581454,0.64088506
-2.531328,0.64112455
-2.481203,0.5788365
-2.431078,0.57702643
-2.380952,0.59283113
-2.330827,0.61472589
-2.280702,0.61612254
-2.230577,0.58353025
-2.180451,0.57302463
-2.130326,0.48903173
-2.080200,0.47042081
-2.030075,0.44938463
-1.979950,0.44907421
-1.929825,0.51752132
-1.879699,0.54334909
-1.829574,0.53262639
-1.779449,0.51511836
-1.729323,0.5774579
-1.679198,0.61243528
-1.629073,0.63512552
-1.578947,0.64408684
-1.528822,0.63854688
-1.478697,0.65899277
-1.428571,0.71113074
-1.378446,0.6733672
-1.328321,0.63691294
-1.278196,0.6231305
-1.228070,0.67766684
-1.177945,0.64521015
-1.127820,0.6256777
-1.077694,0.60437393
-1.027569,0.60019171
-0.977444,0.5778206
-0.927318,0.56966555
-0.877193,0.48814762
-0.827068,0.42712998
-0.776942,0.38137916
-0.726817,0.36360314
-0.676692,0.31900638
-0.626566,0.25698394
-0.576441,0.25744924
-0.526316,0.24201834
-0.476190,0.17413333
-0.426065,0.15329105
-0.375940,0.13066415
-0.325815,0.12550205
-0.275689,0.10994675
-0.225564,0.040960886
-0.175439,0.0074688522
-0.125313,0.002003897
-0.075188,0.0044383141
-0.025063,0.0074590761
0.025063,0.0030455759
0.075188,-0.00095331838
0.125313,-0.0075906804
0.175439,-0.01002175
0.225564,0.0055749719
0.275689,0.024394222
0.325815,0.036668584
0.375940,0.053942434
0.426065,0.077729315
0.476190,0.10193872
0.526316,0.12321286
0.576441,0.14969675
0.626566,0.21049118
0.676692,0.24446
0.726817,0.2842178
0.776942,0.338927
0.827068,0.37339115
0.877193,0.40728471
0.927318,0.44815642
0.977444,0.46493575
1.027569,0.49530759
1.077694,0.47589576
1.127820,0.44683069
1.177945,0.44422552
1.228070,0.42413682
1.278196,0.39082548
1.328321,0.39369297
1.378446,0.39440641
1.428571,0.38165757
1.478697,0.3564387
1.528822,0.33396533
1.578947,0.31911695
1.629073,0.33699098
1.679198,0.32884988
1.729323,0.30979592
1.779449,0.30657715
1.829574,0.32438332
1.879699,0.26500505
1.929825,0.21466294
1.979950,0.21668917
2.030075,0.21338765
2.080200,0.18317649
2.130326,0.19245139
2.180451,0.24097566
2.230577,0.26618338
2.280702,0.25551051
2.330827,0.25851962
2.380952,0.30092025
2.431078,0.28555533
2.481203,0.26762128
2.531328,0.28244567
2.581454,0.26366302
2.631579,0.2087806
2.681704,0.27191117
2.731830,0.27048641
2.781955,0.26648268
2.832080,0.29136419
2.882205,0.32412863
2.932331,0.31475359
2.982456,0.29677156
3.032582,0.32282281
3.082707,0.40923429
3.132832,0.41565925
3.182957,0.38255662
3.233083,0.46319208
3.283208,0.43308744
3.333333,0.47962603
3.383459,0.47857365
3.433584,0.46172851
3.483709,0.49059042
3.533835,0.54053676
3.583960,0.59106165
3.634085,0.57314706
3.684211,0.49903175
3.734336,0.48119399
3.784461,0.40855229
3.834586,0.34390205
3.884712,0.31900305
3.934837,0.29124886
3.984962,0.2411128
4.035088,0.18060274
4.085213,0.12279875
4.135338,0.067172796
4.185463,0.048245043
4.235589,0.043261301
4.285714,0.028959608
4.335840,0.014676569
4.385965,0.013800541
4.436090,0.0085619483
4.486216,0.0086408723
4.536341,0.010614055
4.586466,0.0041528204
4.636591,-0.001774936
4.686717,-0.0023366364
4.736842,6.2276864e-05
4.786967,0.0066080247
4.837093,0.0090851905
4.887218,0.0068120412
4.937343,0.0074559404
4.987469,0.0083793541
5.037594,0.0021823999
5.087719,0.003858194
5.137845,0.001393656
5.187970,0.0011677366
5.238095,-0.0010224195
5.288220,8.8714638e-05
5.338346,0.0031078425
5.388471,0.0068393764
5.438597,0.0080470815
5.488722,0.0078348815
5.538847,0.0051370393
5.588973,0.0090461588
5.639098,0.0093040885
5.689223,0.010171824
5.739348,0.0061312085
5.789474,0.0072505977
5.839599,0.012966274
5.889724,0.016997205
5.939850,0.012772569
5.989975,0.015410742
6.040100,0.017754989
6.090226,0.022259479
6.140351,0.028002381
6.190476,0.029222062
6.240602,0.031712238
6.290727,0.029287798
6.340852,0.037181932
6.390977,0.04504608
6.441103,0.052778058
6.491228,0.064452536
6.541353,0.068110935
6.591479,0.081022896
6.641604,0.10116316
6.691730,0.10066359
6.741855,0.097885534
6.791980,0.10562105
6.842105,0.10660805
6.892231,0.09840434
6.942356,0.096277893
6.992481,0.10679235
7.042606,0.11013933
7.092732,0.11155311
7.142857,0.12174555
7.192983,0.13444242
7.243108,0.13745052
7.293233,0.13924275
7.343359,0.14304042
7.393484,0.13247575
7.443609,0.13832796
7.493734,0.14616223
7.543859,0.1359867
7.593985,0.1421072
7.644110,0.16570219
7.694236,0.18395892
7.744361,0.17583306
7.794486,0.172554
7.844612,0.18072321
7.894737,0.1833083
7.944862,0.19863532
7.994987,0.18378285
8.045113,0.16711558
8.095238,0.18113761
8.145364,0.19780239
8.195489,0.18501377
8.245614,0.18832299
8.295739,0.19689782
8.345864,0.19521527
8.395990,0.18728498
8.446115,0.1872547
8.496241,0.17734507
8.546366,0.15330501
8.596491,0.12542659
8.646617,0.09137366
8.696742,0.060995307
8.746867,0.032759149
8.796992,0.015549056
8.847117,0.010386225
8.897243,0.0048282291
8.947369,0.00077087892
8.997494,-3.0711686e-05
9.047619,-0.0007942766
9.097744,-0.00062936987
9.147870,-0.0036481924
9.197995,-0.0061098267
9.248120,-0.0052276389
9.298245,-0.0079928897
9.348371,-0.0086636469
9.398497,-0.0096298875
9.448622,-0.010104316
9.498747,-0.0094290208
9.548872,-0.010536427
9.598997,-0.011341131
9.649123,-0.011259365
9.699248,-0.011585182
9.749373,-0.011225417
9.799499,-0.010324338
9.849624,-0.0099468576
9.899750,-0.010944748
9.949875,-0.011459311
10.000000,-0.010228749
