energy_eV_minus_EF,dos_states_per_eV_per_atom
-10.000000,0
-9.949875,0
-9.899750,0
-9.849624,0
-9.799499,0
-9.749373,0
-9.699248,0
-9.649123,0
-9.598997,0
-9.548872,0
-9.498747,0
-9.448622,0
-9.398497,0
-9.348371,0
-9.298245,0
-9.248120,0
-9.197995,0
-9.147870,0
-9.097744,0
-9.047619,0
-8.997494,0
-8.947369,0
-8.897243,0
-8.847117,0
-8.796992,0
-8.746867,0
-8.696742,0
-8.646617,0
-8.596491,0
-8.546366,0
-8.496241,0
-8.446115,0
-8.395990,0
-8.345864,0
-8.295739,0
-8.245614,0
-8.195489,0
-8.145364,0
-8.095238,0
-8.045113,1.2458763e-05
-7.994987,0.0028403688
-7.944862,0.065687828
-7.894737,0.26250345
-7.844612,0.24920267
-7.794486,0.11826678
-7.744361,0.13530816
-7.694236,0.092290737
-7.644110,0.14488935
-7.593985,0.095150843
-7.543859,0.0090479851
-7.493734,7.6291057e-05
-7.443609,0.0019838715
-7.393484,0.033521969
-7.343359,0.083941221
-7.293233,0.084711932
-7.243108,0.14905955
-7.192983,0.19983208
-7.142857,0.36505091
-7.092732,0.60333812
-7.042606,0.3700771
-6.992481,0.19857535
-6.942356,0.17876837
-6.892231,0.13602853
-6.842105,0.28452015
-6.791980,0.59645241
-6.741855,0.53754973
-6.691730,0.39913175
-6.641604,0.5096938
-6.591479,0.73764765
-6.541353,0.57616794
-6.491228,0.44435766
-6.441103,0.69030619
-6.390977,0.71064717
-6.340852,0.42781624
-6.290727,0.37437072
-6.240602,0.39530289
-6.190476,0.50927705
-6.140351,0.64124322
-6.090226,0.54953378
-6.040100,0.43667763
-5.989975,0.65182739
-5.939850,0.62049776
-5.889724,0.68082559
-5.839599,0.77762055
-5.789474,0.63714993
-5.739348,0.75395137
-5.689223,0.80329913
-5.639098,0.6427862
-5.588973,0.5205301
-5.538847,0.49075672
-5.488722,0.56945658
-5.438597,0.58426374
-5.388471,0.71173513
-5.338346,0.46012858
-5.288220,0.65277272
-5.238095,0.77588665
-5.187970,0.87343609
-5.137845,0.84952295
-5.087719,0.72924781
-5.037594,0.77710807
-4.987469,0.95537168
-4.937343,1.0292337
-4.887218,1.0687456
-4.837093,0.98522317
-4.786967,0.55667728
-4.736842,0.5920676
-4.686717,0.5931927
-4.636591,0.67812425
-4.586466,0.94893909
-4.536341,0.67541289
-4.486216,0.52448964
-4.436090,0.42106831
-4.385965,0.32162148
-4.335840,0.42484829
