energy_eV_minus_EF,dos_states_per_eV_per_atom
-10.000000,-0.00010823221
-9.949875,-0.0002108125
-9.899750,-0.00016654747
-9.849624,-0.00026291868
-9.799499,-0.00012248856
-9.749373,-0.00021234616
-9.699248,-0.00027509913
-9.649123,-0.0001993698
-9.598997,-0.00028838919
-9.548872,-0.00034702182
-9.498747,-0.00022079184
-9.448622,-0.00030097674
-9.398497,-0.00026743728
-9.348371,-0.00050239969
-9.298245,-0.00055992859
-9.248120,-0.00060079986
-9.197995,-0.0011221743
-9.147870,-0.0014313365
-9.097744,-0.0014140141
-9.047619,-0.0010828503
-8.997494,-0.0010005642
-8.947369,-0.00023753787
-8.897243,-0.00010040035
-8.847117,0.001024488
-8.796992,0.0019668231
-8.746867,0.0019936918
-8.696742,0.0023537034
-8.646617,0.0030129084
-8.596491,0.0027620143
-8.546366,0.0043035056
-8.496241,0.0066852821
-8.446115,0.009184232
-8.395990,0.012470005
-8.345864,0.017091475
-8.295739,0.022411115
-8.245614,0.032101102
-8.195489,0.043204267
-8.145364,0.057757765
-8.095238,0.090328723
-8.045113,0.1388398
-7.994987,0.20820449
-7.944862,0.2910938
-7.894737,0.36586407
-7.844612,0.40356341
-7.794486,0.42387861
-7.744361,0.43197978
-7.694236,0.40251788
-7.644110,0.32784712
-7.593985,0.25017303
-7.543859,0.18532512
-7.493734,0.18329467
-7.443609,0.18732832
-7.393484,0.20482193
-7.343359,0.18309081
-7.293233,0.17327659
-7.243108,0.18547517
-7.192983,0.15185162
-7.142857,0.17309396
-7.092732,0.22400293
-7.042606,0.22305554
-6.992481,0.19438857
-6.942356,0.17401165
-6.892231,0.18154158
-6.842105,0.22946256
-6.791980,0.22394104
-6.741855,0.22046049
-6.691730,0.20523179
-6.641604,0.20678815
-6.591479,0.20628053
-6.541353,0.21212414
-6.491228,0.21729888
-6.441103,0.22468126
-6.390977,0.20273276
-6.340852,0.12725994
-6.290727,0.033924241
-6.240602,-0.0027022448
-6.190476,-0.0067651803
-6.140351,-0.0029007541
-6.090226,-0.0046670008
-6.040100,-0.0032712743
-5.989975,-0.0024593151
-5.939850,-0.0035980199
-5.889724,0.00093225972
-5.839599,0.0028781474
-5.789474,-0.0029746245
-5.739348,-0.0030704404
-5.689223,0.0014220645
-5.639098,0.0022549611
-5.588973,-7.7728648e-05
-5.538847,6.4713795e-06
-5.488722,0.0011315004
-5.438597,0.0023367947
-5.388471,0.0022802742
-5.338346,0.0022010054
-5.288220,0.0062680277
-5.238095,0.0061653983
-5.187970,0.0042008208
-5.137845,0.0081995362
-5.087719,0.016266488
-5.037594,0.021113928
-4.987469,0.019364979
-4.937343,0.020566998
-4.887218,0.039748874
-4.837093,0.08507257
-4.786967,0.17754765
-4.736842,0.25084758
-4.686717,0.24986218
-4.636591,0.26604241
-4.586466,0.309551
-4.536341,0.29698592
-4.486216,0.27673894
-4.436090,0.29592124
-4.385965,0.31808424
-4.335840,0.33549076
-4.285714,0.3665919
-4.235589,0.35065114
-4.185463,0.30684111
-4.135338,0.28498557
-4.085213,0.23899168
-4.035088,0.22634895
-3.984962,0.23906271
-3.934837,0.25542563
-3.884712,0.21210292
