energy_eV_minus_EF,dos_states_per_eV_per_atom
-10.000000,0
-9.949875,0
-9.899750,0
-9.849624,0
-9.799499,0
-9.749373,0
-9.699248,0
-9.649123,0
-9.598997,0
-9.548872,0
-9.498747,0
-9.448622,0
-9.398497,0
-9.348371,0
-9.298245,0
-9.248120,0
-9.197995,0
-9.147870,0
-9.097744,0
-9.047619,0
-8.997494,0
-8.947369,0
-8.897243,0
-8.847117,0
-8.796992,0
-8.746867,0
-8.696742,0
-8.646617,0
-8.596491,0
-8.546366,0
-8.496241,0
-8.446115,0
-8.395990,0
-8.345864,0
-8.295739,0
-8.245614,0
-8.195489,1.5024041e-05
-8.145364,0.003213349
-8.095238,0.069145001
-8.045113,0.25855228
-7.994987,0.39750907
-7.944862,0.54669994
-7.894737,0.40181559
-7.844612,0.52132159
-7.794486,0.47736982
-7.744361,0.38182798
-7.694236,0.27737632
-7.644110,0.397333
-7.593985,0.29810172
-7.543859,0.15996175
-7.493734,0.16723624
-7.443609,0.3004702
-7.393484,0.32279491
-7.343359,0.20817977
-7.293233,0.23830751
-7.243108,0.10356969
-7.192983,0.2133811
-7.142857,0.27489853
-7.092732,0.11384611
-7.042606,0.20251754
-6.992481,0.20459022
-6.942356,0.13824536
-6.892231,0.2028937
-6.842105,0.21660596
-6.791980,0.27598909
-6.741855,0.20385805
-6.691730,0.21750653
-6.641604,0.24161087
-6.591479,0.27167335
-6.541353,0.24438083
-6.491228,0.38591832
-6.441103,0.34858963
-6.390977,0.06787511
-6.340852,0.0022438085
-6.290727,0
-6.240602,0
-6.190476,0
-6.140351,0
-6.090226,0
-6.040100,0
-5.989975,0
-5.939850,0
-5.889724,0
-5.839599,0
-5.789474,0
-5.739348,0
-5.689223,0
-5.639098,0
-5.588973,0
-5.538847,0
-5.488722,0
-5.438597,0
-5.388471,0
-5.338346,0
-5.288220,0
-5.238095,0
-5.187970,0
-5.137845,0.0012688097
-5.087719,0.085343584
-5.037594,0.79956329
-4.987469,1.0448515
-4.937343,0.20675977
-4.887218,0.25344965
-4.837093,0.76748669
-4.786967,0.59239841
-4.736842,0.32927412
-4.686717,0.21549672
-4.636591,0.26487985
-4.586466,0.42033753
-4.536341,0.45739987
-4.486216,0.31492352
-4.436090,0.25691283
-4.385965,0.3534537
-4.335840,0.39902639
-4.285714,0.41013673
-4.235589,0.31728983
-4.185463,0.22051007
-4.135338,0.23657991
-4.085213,0.18321641
-4.035088,0.1876808
-3.984962,0.29002276
